no,control,stimulus,position,ui,response,rt,SR
10,D,P,bottom,button,top,755,1
10,D,G,top,slider,down,799,1
10,D,P,top,button,down,814,1
10,D,N,bottom,slider,top,691,1
10,D,M,bottom,button,top,804,1
10,D,N,bottom,slider,top,846,1
10,D,P,bottom,button,top,1143,1
10,D,P,bottom,slider,top,740,1
10,D,M,bottom,button,top,812,1
10,D,G,bottom,slider,top,939,1
10,D,N,top,button,down,756,1
10,D,N,top,slider,down,743,1
10,D,P,bottom,button,top,770,1
10,D,G,top,slider,down,761,1
10,D,N,top,button,down,1469,1
10,D,P,top,slider,down,699,1
10,D,M,top,button,down,739,1
10,D,P,top,slider,down,735,1
10,D,G,top,button,down,599,1
10,D,G,top,slider,down,651,1
10,D,N,bottom,button,top,642,1
10,D,N,bottom,slider,top,699,1
10,D,N,bottom,button,top,813,1
10,D,G,bottom,slider,top,639,1
10,D,G,bottom,button,top,674,1
10,D,N,top,slider,down,647,1
11,I,M,top,button,down,2648,1
11,I,N,top,slider,down,2103,1
11,I,P,top,button,down,1191,1
11,I,G,bottom,slider,top,1825,1
11,I,N,bottom,button,top,1448,1
11,I,P,top,slider,down,1162,1
11,I,M,bottom,button,top,1160,1
11,I,G,top,slider,down,1056,1
11,I,P,bottom,button,top,1000,1
11,I,G,top,slider,down,872,1
11,I,N,top,button,down,1095,1
11,I,G,top,slider,down,757,1
11,I,N,bottom,button,top,911,1
11,I,G,bottom,slider,top,864,1
11,I,N,bottom,button,top,968,1
11,I,M,top,slider,down,872,1
11,I,P,bottom,button,top,832,1
11,I,N,bottom,slider,top,857,1
11,I,M,bottom,button,top,993,1
11,I,G,top,slider,down,719,1
11,I,N,top,button,down,736,1
11,I,N,top,slider,down,736,1
11,I,G,top,button,down,761,1
11,I,P,bottom,slider,top,2064,1
11,I,G,bottom,button,top,966,1
11,I,M,top,slider,down,878,1
11,I,M,top,button,down,887,1
11,I,M,bottom,slider,top,1111,1
11,I,G,bottom,button,top,742,1
11,I,N,bottom,slider,top,846,1
11,I,G,top,button,down,935,1
11,I,M,top,slider,down,840,1
11,I,P,bottom,button,top,791,1
11,I,G,bottom,slider,top,752,1
11,I,P,bottom,button,top,799,1
11,I,P,top,slider,down,645,1
11,I,P,top,button,down,775,1
11,I,P,top,slider,down,656,1
11,I,G,top,button,down,744,1
11,I,P,top,slider,down,648,1
11,I,N,top,button,down,777,1
11,I,M,top,slider,down,840,1
11,I,G,bottom,button,top,992,1
11,I,M,top,slider,down,790,1
11,I,M,bottom,button,top,815,1
11,I,P,bottom,slider,top,783,1
11,I,N,top,button,down,744,1
11,I,G,top,slider,down,704,1
11,I,P,bottom,button,top,1087,1
11,I,M,bottom,slider,top,688,1
11,I,P,bottom,button,down,687,0
11,I,P,bottom,slider,top,656,1
11,I,G,bottom,button,top,785,1
11,I,G,top,slider,down,3448,1
11,I,N,top,button,down,928,1
11,I,N,bottom,slider,top,726,1
11,I,M,top,button,down,694,1
11,I,G,top,slider,down,656,1
11,I,P,bottom,button,top,638,1
11,I,G,top,slider,down,623,1
11,I,N,bottom,button,top,862,1
11,I,P,bottom,slider,top,736,1
11,I,M,bottom,button,top,750,1
11,I,M,bottom,slider,top,974,1
11,I,N,top,button,down,776,1
11,I,N,bottom,slider,top,600,1
11,I,M,top,button,down,823,1
11,I,P,top,slider,down,679,1
11,I,M,bottom,button,top,552,1
11,I,P,bottom,slider,top,615,1
11,I,N,bottom,button,top,783,1
11,I,M,bottom,slider,top,849,1
11,I,N,bottom,button,top,688,1
11,I,M,bottom,slider,top,703,1
11,I,P,bottom,button,top,705,1
11,I,M,top,slider,down,655,1
11,I,N,top,button,down,688,1
11,I,G,top,slider,down,809,1
11,I,N,bottom,button,top,623,1
11,I,G,top,slider,down,1858,1
11,D,M,bottom,button,top,1050,1
11,D,N,top,slider,down,1971,1
11,D,P,top,button,down,760,1
11,D,G,top,slider,down,1653,1
11,D,N,bottom,button,top,974,1
11,D,P,top,slider,down,1529,1
11,D,M,bottom,button,top,682,1
11,D,G,top,slider,down,703,1
11,D,P,top,button,top,754,0
11,D,G,bottom,slider,top,877,1
11,D,N,top,button,down,625,1
11,D,G,top,slider,down,1435,1
11,D,N,top,button,down,637,1
11,D,G,bottom,slider,top,697,1
11,D,N,bottom,button,top,639,1
11,D,M,top,slider,down,1708,1
11,D,P,top,button,down,641,1
11,D,N,bottom,slider,top,1717,1
11,D,M,top,button,down,600,1
11,D,G,top,slider,down,513,1
11,D,N,bottom,button,top,674,1
11,D,N,bottom,slider,top,554,1
11,D,G,bottom,button,top,659,1
11,D,P,top,slider,down,648,1
11,D,G,bottom,button,top,568,1
11,D,M,bottom,slider,top,568,1
11,D,M,top,button,down,538,1
11,D,M,bottom,slider,失敗,null,0
11,D,G,top,button,down,727,1
11,D,N,top,slider,down,707,1
11,D,G,top,button,down,621,1
11,D,M,bottom,slider,top,778,1
11,D,P,bottom,button,top,793,1
11,D,G,top,slider,down,657,1
11,D,P,top,button,down,561,1
11,D,P,top,slider,down,677,1
11,D,P,bottom,button,top,612,1
11,D,P,bottom,slider,top,646,1
11,D,G,bottom,button,top,686,1
11,D,P,bottom,slider,top,645,1
11,D,N,bottom,button,top,558,1
11,D,M,top,slider,down,686,1
11,D,G,top,button,down,700,1
11,D,M,top,slider,down,593,1
11,D,M,bottom,button,top,600,1
11,D,P,bottom,slider,top,659,1
11,D,N,bottom,button,top,595,1
11,D,G,top,slider,down,697,1
11,D,P,bottom,button,top,571,1
11,D,M,top,slider,down,763,1
11,D,P,bottom,button,top,726,1
11,D,P,bottom,slider,top,764,1
11,D,G,bottom,button,top,582,1
11,D,G,top,slider,down,1911,1
11,D,N,top,button,down,656,1
11,D,N,top,slider,down,630,1
11,D,M,top,button,down,591,1
11,D,G,bottom,slider,top,546,1
11,D,P,bottom,button,top,667,1
11,D,G,top,slider,down,727,1
11,D,N,top,button,down,600,1
11,D,P,top,slider,down,845,1
11,D,M,bottom,button,down,594,0
11,D,M,bottom,slider,top,676,1
11,D,N,bottom,button,top,645,1
11,D,N,top,slider,down,840,1
